,precision,recall,f1-score,support,Grupo
0,0.7377892030848329,0.6061246040126715,0.6655072463768115,947.0,sex_Male
1,0.6232323232323232,0.7515225334957369,0.6813914964108228,821.0,sex_Male
accuracy,0.6736425339366516,0.6736425339366516,0.6736425339366516,0.6736425339366516,sex_Male
macro avg,0.6805107631585781,0.6788235687542042,0.6734493713938171,1768.0,sex_Male
weighted avg,0.6845928239225533,0.6736425339366516,0.6728833602217906,1768.0,sex_Male
0,0.7275541795665634,0.9038461538461539,0.8061749571183534,260.0,sex_Female
1,0.6621621621621622,0.35766423357664234,0.46445497630331756,137.0,sex_Female
accuracy,0.7153652392947103,0.7153652392947103,0.7153652392947103,0.7153652392947103,sex_Female
macro avg,0.6948581708643629,0.6307551937113981,0.6353149667108355,397.0,sex_Female
weighted avg,0.7049881685227272,0.7153652392947103,0.6882514372904946,397.0,sex_Female
