,precision,recall,f1-score,support,Grupo
0,0.7181372549019608,0.5507518796992481,0.6234042553191489,532.0,race_African-American
1,0.6605113636363636,0.8017241379310345,0.7242990654205608,580.0,race_African-American
accuracy,0.6816546762589928,0.6816546762589928,0.6816546762589928,0.6816546762589928,race_African-American
macro avg,0.6893243092691622,0.6762380088151413,0.6738516603698548,1112.0,race_African-American
weighted avg,0.6880805849972429,0.6816546762589928,0.6760292461993817,1112.0,race_African-American
0,0.7465753424657534,0.872,0.8044280442804429,125.0,race_Hispanic
1,0.5675675675675675,0.3620689655172414,0.4421052631578948,58.0,race_Hispanic
accuracy,0.7103825136612022,0.7103825136612022,0.7103825136612022,0.7103825136612022,race_Hispanic
macro avg,0.6570714550166605,0.6170344827586207,0.6232666537191689,183.0,race_Hispanic
weighted avg,0.6898406378532137,0.7103825136612022,0.6895935016295807,183.0,race_Hispanic
0,0.7522321428571429,0.7262931034482759,0.7390350877192983,464.0,race_Caucasian
1,0.565068493150685,0.5978260869565217,0.5809859154929577,276.0,race_Caucasian
accuracy,0.6783783783783783,0.6783783783783783,0.6783783783783783,0.6783783783783783,race_Caucasian
macro avg,0.6586503180039139,0.6620595952023989,0.660010501606128,740.0,race_Caucasian
weighted avg,0.6824251599936533,0.6783783783783783,0.6800870180781227,740.0,race_Caucasian
0,0.8,0.8,0.8000000000000002,5.0,race_Asian
1,0.0,0.0,0.0,1.0,race_Asian
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,race_Asian
macro avg,0.4,0.4,0.4000000000000001,6.0,race_Asian
weighted avg,0.6666666666666666,0.6666666666666666,0.6666666666666669,6.0,race_Asian
0,0.7021276595744681,0.8354430379746836,0.7630057803468209,79.0,race_Other
1,0.5185185185185185,0.3333333333333333,0.40579710144927533,42.0,race_Other
accuracy,0.6611570247933884,0.6611570247933884,0.6611570247933884,0.6611570247933884,race_Other
macro avg,0.6103230890464932,0.5843881856540084,0.5844014408980481,121.0,race_Other
weighted avg,0.6383955610261219,0.6611570247933884,0.6390159909774249,121.0,race_Other
0,0.0,0.0,0.0,2.0,race_Native American
1,0.3333333333333333,1.0,0.5,1.0,race_Native American
accuracy,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,race_Native American
macro avg,0.16666666666666666,0.5,0.25,3.0,race_Native American
weighted avg,0.1111111111111111,0.3333333333333333,0.16666666666666666,3.0,race_Native American
